revisionId	branch	timestamp	comment	parent1	parent2
7521:8f5f84b331a4	infinica_5.1_sso	Wed Sep 28 17:57:04 CEST 2016	mschedenig	Authentication management, including configuration, is now handled by infinica-authentication-layer.	null	null
7520:b228091e1a87	infinica_5.1_sso	Wed Sep 28 17:55:32 CEST 2016	mschedenig	Authentication management, including configuration, is now handled by infinica-authentication-layer.	7496:602dda410f71	null
7519:ae9c2a0f1e49	infinica_5.1	Wed Sep 28 16:32:58 CEST 2016	Bogdan Mustiata	Recompiled CKEditor	null	null
7518:c95c20430b3b	infinica_5.1	Wed Sep 28 16:25:43 CEST 2016	Bogdan Mustiata	Added editable inline building blocks.	null	null
7517:28ec6c684100	infinica_5.1	Wed Sep 28 16:19:38 CEST 2016	Matej Kovalik	Merge from infinica_5.1_mkovalik	7512:e8da1605168c	7512:e8da1605168c
7516:68b7cc1f9516	infinica_5.1_mkovalik	Wed Sep 28 16:18:07 CEST 2016	Matej Kovalik	Merge from infinica_5.1_mkovalik	7515:03adc96f42cb	7515:03adc96f42cb
7515:03adc96f42cb	infinica_5.1_mkovalik	Wed Sep 28 16:14:09 CEST 2016	Matej Kovalik	WP-877 - FTP HT no credentials issue	null	null
7514:e2759bcc7ca3	infinica_5.1_mkovalik	Wed Sep 28 15:34:09 CEST 2016	Matej Kovalik	WP-875 - No warning when saving into forbidden FTP folder (FTP IHT)	null	null
7513:a9bdd3be16e6	infinica_5.1_mkovalik	Wed Sep 28 11:19:45 CEST 2016	Matej Kovalik	WP-874 - Cannot expand FTP folders	7494:79b66e2e7915	null
7512:e8da1605168c	infinica_5.1	Wed Sep 28 15:44:49 CEST 2016	Bogdan Mustiata	Operations seem to be largely working.	7509:c079542ad2cc	null
7511:f0af03017c21	infinica_5.0	Wed Sep 28 15:36:31 CEST 2016	mleitner	#RE-145: Security settings on folder don't apply/work	null	null
7510:0c21d7e00a98	infinica_5.0	Wed Sep 28 15:14:59 CEST 2016	mleitner	#RE-145: Security settings on folder don't apply/work	7503:8fc8d022e806	null
7509:c079542ad2cc	infinica_5.1	Wed Sep 28 14:16:35 CEST 2016	Bogdan Mustiata	Removed a lot of console.logs. Added sameResult, and make sure it resolves correctly promises. Removed curry.	null	null
7508:16b46e8eb011	infinica_5.1	Wed Sep 28 13:57:25 CEST 2016	totht	Rename BB widget using INFINICA STANDARD part2	null	null
7507:cf00033166b6	infinica_5.1	Wed Sep 28 13:56:10 CEST 2016	totht	Rename BB widget using INFINICA STANDARD part1	null	null
7506:f9e4faa7943a	infinica_5.1	Wed Sep 28 12:52:38 CEST 2016	totht	Remove filler elements	7504:c1f46b71fb20	null
7505:ab67695bf0a9	infinica_5.1_tmertes	Wed Sep 28 12:59:44 CEST 2016	tmertes	Merge with infinica_5.1	7502:8bb07db055d0	7502:8bb07db055d0
7504:c1f46b71fb20	infinica_5.1	Wed Sep 28 12:58:32 CEST 2016	tmertes	Merge with infinica_5.1_tmertes	7498:55c798112b1e	7498:55c798112b1e
7503:8fc8d022e806	infinica_5.0	Mon Sep 26 17:32:21 CEST 2016	mleitner	added missing resources (names and icons)	7485:a1f889e10e3c	null
7502:8bb07db055d0	infinica_5.1_tmertes	Wed Sep 28 10:36:53 CEST 2016	tmertes	Merge with infinica_5.1	7501:e29c18f18ba5	7501:e29c18f18ba5
7501:e29c18f18ba5	infinica_5.1_tmertes	Wed Sep 28 10:34:17 CEST 2016	tmertes	TD-2311: Expand new created table to fit the page. Work when table is in PageContent.	null	null
7500:775650544581	infinica_5.1_tmertes	Wed Sep 28 10:11:08 CEST 2016	tmertes	Add test for pdfConcatenator	null	null
7499:03882f9b28fe	infinica_5.1_tmertes	Wed Sep 28 10:10:19 CEST 2016	tmertes	Add itextpdfConcatenator + tests	7481:c4cffde721f1	null
7498:55c798112b1e	infinica_5.1	Tue Sep 27 18:21:17 CEST 2016	Michal Oravec	Merge	7497:cac5dbcfef0b	7497:cac5dbcfef0b
7497:cac5dbcfef0b	infinica_5.1	Tue Sep 27 18:19:11 CEST 2016	Michal Oravec	WP RT tests updates	7434:586a76cc51ab	null
7496:602dda410f71	infinica_5.1_sso	Tue Sep 27 17:55:19 CEST 2016	mschedenig	Began to modularise credentials handlers.	7475:340afa7b5874	null
7495:8a4db737dd99	infinica_5.1	Tue Sep 27 17:35:48 CEST 2016	Matej Kovalik	Merge from infinica_5.1_mkovalik	7492:f35d894b814f	7492:f35d894b814f
7494:79b66e2e7915	infinica_5.1_mkovalik	Tue Sep 27 17:33:57 CEST 2016	Matej Kovalik	Merge from infinica_5.1	7493:b68abc04a5b5	7493:b68abc04a5b5
7493:b68abc04a5b5	infinica_5.1_mkovalik	Tue Sep 27 16:40:45 CEST 2016	Matej Kovalik	WP-742 - Composer compare HT	7452:224cc3ee7c11	null
